id,framework,year,title,body_excerpt,github_url,v1_1_label,v1_1_rationale
AGPT-001,autogpt,2023,Make Auto-GPT aware of running cost,first runaway-cost feature request,#6,,
AGPT-002,autogpt,2023,Set budget per session with soft/hard cap,"""set budget for each session with soft and hard cap""",#393,,
AIDR-009,aider,2025,claude code /compact command,"OPEN as of Sep 2025. Filed Mar 9 2025 by @kanishkaverma requesting Aider implement claude-code /compact command. Maintainer @paul-gauthier initial response (Mar 11 2025): ""Aider already automatically compacts/summarizes the conversation periodically"" - a ""by-design""-style framing. Community pushed back: @paralin ""I think adding a manual /compact makes sense rather than doing it automatically so that the user can pick better checkpoints""; @luca-ing (May 2 2025) quotable: ""recently Ive often bumped into Claudes context limit on longer, elaborate sessions. If this happens I feel like I have no other choice than to start over, perhaps in the middle of a gnarly refactoring."" After 6 weeks of stale-bot threats and community bumps, @paul-gauthier re-tagged as enhancement Apr 28 2025. M-context-amplification mechanism: users hit context limits, lose work, want manual compaction control. Cross-framework signal: same /compact feature is the cause of CCDE-001 ($235 burn from claude-code compaction-loop) and the requested-but-missing mitigation here.",#3471,,
ATGN-005,autogen,2023,Roadmap for handling context overflow,"closed completed Mar 14 2024 by @yiranwu0 when several PRs (#131, #421, #443, #497) merged. 2023-era AutoGen roadmap parallel to AGPT-001/002. Documentation pointer (microsoft.github.io/autogen/docs/topics/long_contexts) cited Apr 2024 by @ekzhu became 404 by Sep 2025 after AutoGen v0.4 rewrite, with user @reski-rukmantiyo asking ""how to solve this?"" Pattern: shipped-then-bit-rotted via rewrite. Third AutoGen entry; oldest 2023 issue showing context-overflow as a known concern across frameworks.",#156,,
ATGN-006,autogen,2024,Token usage and latency metrics in TaskResult,"OPEN as of Feb 2025. Filed Dec 16 2024 by lead maintainer @ekzhu himself. Documents specific cost-observability gap in autogen-agentchat 0.4 architecture: ""Console is currently using agents inner messages to keep track of the total token usage -- this is inaccurate. As agents may not emit inner messages, and SelectorGroupChat model client usage is not reflected. We need to fix these as well."" Active engineering discussion: @gziz on implementation, @ekzhu specifying GroupChatSelectSpeaker event-type architecture, @husseinmozannar extending the gap to M1 orchestrator (""the model usage of the M1 orchestrator is also not tracked""). Documented zero-cost-display: ""The total token usage reported is 0, which is false, because the selector group chat uses model client to choose the next agent."" PRs #4768 and #4771 reference this; cross-linked to Observability parent issue #5620 and #4172, #4835. FIRST cross-ecosystem M-cost-observability case extending the cluster from LangChain-only (LANG-006/007/008/010) to AutoGen, demonstrating cost-observability gaps are an architectural pattern across multiple frameworks.",#4719,,
ATGN-007,autogen,2023,We Need a Token Count,"closed completed Oct 12 2023 by @qingyun-wu via PR #179 by @yiranwu0. Filed Oct 10 2023 by @aiInvader: ""This is a super crucial feature. When finished executing, we need the token count."" Reporter pushed back when @qingyun-wu pointed to existing logging (which only logged cost in USD, not token count). Maintainer @sonichi confirmed gap: ""Lets add token count to the logging. Anyone interested in adding it?"" Contributor @TomExMachina: ""The token counts are a metric that need to always be available to both the developer and the agent."" Implementation by @yiranwu0 within 2 days. Earliest cost-tracking gap in autogen, contemporaneous with AGPT-001 (Apr 2023), GPTE-003 (Jun 2023), and LLMI-003 (Jul 2023). Strengthens the maintainer-request cluster to 6 cases.",#175,,
ATGN-018,autogen,2023,Cost calculation for the whole chat session,"closed Jan 17 2024 via PR #1269 (""Add usage summary for agents"") by Contributor @sonichi -- closure addresses observability portion BUT architectural cost amplification explicitly admitted unsolvable without rewriting GroupChat. RENUMBERED FROM ORIGINAL PASTE (was ""ATGN-010"" in user paste; ID collision with existing ATGN-010 #4835 prompted renumber to next free ATGN-018). Filed Dec 27 2023 by @stephanedebove tagged enhancement. POWERFUL MAINTAINER-CONFIRMED ARCHITECTURAL COST AMPLIFICATION: Member @afourney Dec 28 2023 quotable: ""Group chat is tricky because many messages are duplicated (and thus only need to be counted once), and because there is a hidden OAI call for orchestration that does not show up as a message. At present the entire history is passed to all agents, and is also passed to OAI when doing orchestration. The costs are super-linear -- long chats are much much more costly than short chats. You can mitigate this by using the round_robin... but then the orchestration is basically a simple loop with no llm calls at all. There is no way to mitigate this short of rewriting GroupChat."" THIS SINGLE QUOTE DOCUMENTS THREE DISTINCT MECHANISMS: (1) hidden OAI orchestration call cost-not-surfaced; (2) entire history broadcast to all agents = M-context-amplification at delegation layer; (3) super-linear-cost-vs-length-of-chat. Reporter explicit user-impact framing: ""is no way to know the cost for a whole CustomGroupChat() session?"" + ""ways to mitigate the OpenAI costs during a group chat session?"" + architectural question ""do agents receive the whole history of conversation when they are called?"" PR #1269 addressed observability (token tracking summary) but NOT the architectural amplification. Pattern: closed-as-completed-but-architectural-issue-remains. NEW closure sub-shape (11th in taxonomy): closed-by-fixing-adjacent-issue-while-architectural-issue-remains-acknowledged-unsolvable. FOUNDATION ROW FOR M-DELEGATION-FANOUT cluster: maintainer-confirmed architectural cost amplification at GroupChat layer. Tag note: bu chosen over fr because the substantive content is the maintainer admission of unfixed mechanism, not the closed-completed observability portion. Filing-to-close: 21 days for observability fix; architectural cost-amp explicitly unsolved at fetch. [v23 IRR adjudication: retagged bu->fr per second-rater agreement; original tag bu by Sajjad, codebook v1.1 will tighten bu/fr boundary on interrogative-feature-gap titles.]",#1070,,
CRAI-006,crewai,2024,Token Usage Metrics for Each Task,"AUTO-STALE-CLOSED Dec 17 2024 as not planned by github-actions stale-bot (5 months filing-to-close). RENUMBERED FROM ORIGINAL PASTE (was ""CRAI-001"" but ID collision with existing CRAI-001 #6; renumbered to next free CRAI-006). Filed Jul 14 2024 by @lirockyzhang tagged enhancement + no-issue-activity. DIRECT M-COST-OBSERVABILITY GRANULARITY-GAP: Reporter quotable: ""Is it possible to get a usage metrics for each task after execution instead of a total usage metrics after the whole crew finished running? It would be easier to target tasks that use excessive tokens and reduce their token usage."" Per-task vs per-crew cost-aggregation gap. MULTI-USER CONFIRMATION: @ChaseRichardsonGit Oct 23 2024: ""+1 - Would love this feature as well. What I am getting out of crew usage metrics and Langtrace are not adding up and being able to solve it out via individual task metrics would be ideal."" -- explicit cross-tool-discrepancy framing (Langtrace numbers do not match crew metrics, suggesting framework-level cost-tracking ambiguity beyond just granularity). POST-CLOSURE USER CONFIRMS UNRESOLVED: @Hisan-007 Jan 2 2025: ""i am still looking for a solution, did anyone find anything, or a work around perhaps?"" Sub-mechanism: per-task-vs-per-crew-cost-aggregation-gap. Parallels MAST-002 (Mastra cost-aggregation gap), ATGN-018 (AutoGen GroupChat costs hidden orchestration call), SMAG-001 (smolagents Monitor only at agent level). FIRST CrewAI cost-observability ENTRY in catalog -- previously CrewAI rows were retry-loop and by-design clusters only. M-cost-observability cluster reaches large cross-framework reach.",#933,,
GPTE-003,gpt-engineer,2023,Track and log token usage,"closed completed Jul 5 2023 by @AntonOsika (project owner) via PR #438 merged by @UmerHA. Filed Jun 22 2023 by @AntonOsika himself: ""Print and store how many tokens were used in memory/logs. In this way, we can also store this to benchmark results. A huge increase in tokens will not be worth a minor improvement in benchmark resultss."" Earliest cost-tracking gap in gpt-engineer, filed by project owner pre-incident. Strengthens the maintainer-request-cluster: AGPT-001 (Apr 2023, feature_request), AGPT-002 (2023, feature_request), LLMI-003 (Jul 2023, feature_request), GPTE-003 (Jun 2023, feature_request), ATGN-007 (Oct 2023, feature_request), PCLP-001 (Mar 2026, maintainer_framing) -- six projects across 2023-2026 documenting cost-tracking as a recognized but reactively-addressed gap.",#322,,
LANG-036,langchain,2026,Support approximate token counting for image blocks in langchain-core,"with REPORTER-SHIPPED-FIX-PR-MERGED-FAST pattern. Filed Jan 25 2026 by @subhashyadavon tagged feature + external + core. CLOSED Jan 27 2026 by Collaborator @ccurme via PR #34883 (2 DAYS filing-to-merge -- ties CRAI-011 as fastest in catalog with different mechanism shape). Reporter cost-impact paper-quotable: ""If the default approximate counter is used, a single base64-encoded image can appear to consume 25,000+ tokens simply because of its string length, causing trim_messages to aggressively discard virtually all other conversation history."" Reporter framework-architectural-mechanism: ""Currently, when count_tokens_approximately encounters a message with a list of content blocks (standard for multimodal models), it falls back to len(repr(message.content)). For messages containing base64-encoded images, this results in counting tens of thousands of characters as if they were text tokens, leading to massive overestimation of the token count."" Reporter user-impact-on-context-management: ""Currently, I have to work around this by either stripping images from my trimming logic or implementing a custom token counter."" Source-line: libs/core/langchain_core/messages/utils.py count_tokens_approximately function. Proposed fix: iterate content blocks, identify image_url blocks, apply fixed 85-token penalty (aligned with OpenAI low-res base penalty) instead of counting characters. REPORTER-SHIPPED-FIX-WITH-VERIFICATION-EVIDENCE: ""I have already implemented this fix in a local fork, verified it with a new test suite handling 100k+ character base64 strings, and ensured zero regressions by running the existing 141 message utility tests. I am ready to submit the PR as soon as this is reviewed."" NEW PATTERN: REPORTER-PREPARED-PR-SUPERSEDED-BY-DRIVE-BY-CONTRIBUTOR. @jiaming2li Jan 26 2026 (1 day post-filing) actually opened PR #34883 -- drive-by contributor shipped fix BEFORE reporter could submit theirs. Reporter prepared-fork was superseded. @ccurme Jan 27 2026 merged. Sub-mechanism: M-multimodal-cost-amplification token-counter-overestimates-via-base64-string-length. DUAL-PATH PROOF for M-multimodal-cost-amplification: LANG-035 (no fix, ~5-month auto-stale-close in 2024) + LANG-036 (2-day fast fix in 2026). 18-MONTH GAP between same-mechanism reports demonstrates mechanism-known-but-unaddressed-until-community-pressure pattern -- the count_tokens_approximately bug existed for entire LANG-035 base64-amplification window (Jul 2024 onward) but only got fixed when (a) reporter framed it as feature-not-bug AND (b) reporter-prepared-PR demonstrated zero-regression on 141 existing tests. Methodology-relevant: framing-and-evidence-quality drives fix outcome, not bug-severity.",#34873,,
