issue_id,framework,date,short_url,title,rater_b_tag,notes
LANG-027,langchain,2025-03,#30362,max_retries Parameter in ChatMistralAI Class Is Ineffective Due to Commented Code,,
LANG-010,langchain,2024-02,#18212,get_openai_callback returns 0 for create_openai_functions_agent,,
LANG-002,langchain,2024-01,#16251,load_summarize_chain hits infinite loop due to small token_max,,
CRAI-011,crewai,2025-11,#3847,Agent loop is not stopped after max iterations reached,,
GPTE-002,gpt-engineer,2023-06,#114,"Specifications repeating, consuming many tokens",,
CCDE-001,claude-code,2025-10,#9579,Autocompacting Loop Causing Massive Token Usage Spikes,,
MAST-016,mastra,2025-07,#5715,Does new workflows have same retry logic as legacy workflows?,,
CRAI-001,crewai,2023-12,#6,"AgentExecutor chain loop stucked, will break OpenAI budget",,
PYAI-006,pydantic-ai,2025-10,#3118,Better handling when max tokens limit results in incomplete tool call arguments,,
LANG-021,langchain,2025-10,#33635,[LangGraph v1.0] Support Bedrock Anthropic prompt caching in create_agent system prompt,,
LANG-009,deepagentsjs,2025-12,#82,Agent infinite loop with large tool results,,
MAST-011,mastra,2025-12,#11344,[BUG] Memory class does not support AI SDK v5 providerOptions for embedding dimensions,,
PYAI-004,pydantic-ai,2025-08,#2593,Enforce usage limits by exact tool call count (not just request/turn count),,
MAST-012,mastra,2025-09,#7934,Anthropic System Prompt Caching Regression,,
LANG-005,langchain,2025-04,#30795,Total cost calculation possible bug with o3-mini,,
LANG-023,langchain,2025-12,#34542,AnthropicPromptCachingMiddleware applies cache_control to tool_use/tool_result blocks called by code_execution causing API errors,,
MAST-007,mastra,2025-10,#8351,Mastra Server not handling rate limit error for anthropic provider,,
MAST-017,mastra,2025-12,#10874,Propagate AbortSignal through Agent Networks to sub-agents,,
LLMI-005,llamaindex,2024-06,#13992,LanceDBVectorStore database size blows up on creation,,
MAST-006,mastra,2025-09,#8162,[BUG] Langfuse exporter not capturing output tokens from LLM calls,,
CRAI-002,crewai,2024-09,#1355,Agents getting stuck in loop since move to LiteLLM,,
AIDR-001,aider,2024-09,#1842,Loop ran up $13 in charges rapidly,,
DSPY-004,dspy,2025-06,#8416,Token Tracking Issue - Bedrock with Streamified Predict,,
MAST-020,mastra,2025-10,#9584,should not convert files into base64 for LLM providers that support providing documents as URL,,
ATGN-009,autogen,2024-11,#4172,Logging metrics for agents,,
MAST-010,mastra,2025-07,#5876,[BUG] Query performance reduces as memory grows larger,,
CRAI-010,crewai,2026-03,#4783,Hierarchical process delegation fails - manager agents cannot delegate to worker agents,,
ATGN-010,autogen,2024-12,#4835,Model Costs and Cached Tokens,,
ATGN-020,autogen,2024-03,#1838,multimodal multi agent function call,,
LANG-001,langgraph,2026-01,#6731,Agent infinite looping until recursion limit,,
LANG-034,langchain,2026-02,#35059,ChatOpenAI silently drops reasoning_content from OpenAI-compatible providers,,
CRAI-012,crewai,2025-03,#2464,CrewAI ChromaDB Embedding Dimension Mismatch Issue,,
ATGN-008,autogen,2025-02,#5400,Token counting issues with smaller models,,
LANG-030,langchain,2025-03,#30429,core: incorrect token count (usage_metadata) in streaming mode,,
DSPY-003,dspy,2024-12,#1954,Using MIPROv2 max_bootstrapped_demos > 0 with dspy.Image causes context to blow up,,
LANG-017,langchain,2023-08,#9929,ParentDocumentRetriever is slow with FAISS because add_documents uses embed_query without batching,,
CRAI-013,crewai,2025-05,#2755,How to load pre-existing embeddings as Knowledge Source,,
ATGN-004,autogen,2023-10,#198,Token limit and rate per minute limit errors in framework demo notebooks,,
AIDR-006,aider,2025-04,#3803,"DeepSeek R1 thinking in thousands of tokens, cannot limit",,
LANG-033,langchain,2026-01,#34613,Deprecation warning guides users to langchain.agents breaking stream_mode messages token streaming,,
LANG-014,langchain,2023-08,#9717,Langchain QA over large documents results in Rate limit errors,,
LANG-013,langgraph,2025-08,#6027,Node Retry Policies not respected on ValidationError,,
LANG-022,langchain,2025-10,#33709,AnthropicPromptCachingMiddleware breaks model fallback with cache_control param,,
OAAS-001,openai-agents,2025-03,#191,Tool Calling Running in Loop Until Max-Turn,,
LLMI-006,llamaindex,2023-05,#3424,How to store embedding vector when using a custom embedding model?,,
LANG-028,langchain,2023-10,#11405,prevent a agent from exceeding the token limit,,
OCLW-001,openclaw,2026-02,#5960,"Agent session 123 Opus calls in 16min, $4.85, no cap",,
LANG-007,langsmith,2025-09,#2024,Cost showing up as 0 despite having tokens,,
LANG-024,langchain,2023-02,#1094,Disable Retry on Timeout,,
LANG-016,langchain,2024-08,#25309,No notification when exceeding Anthropic rate limit,,
PYAI-001,pydantic-ai,2025-03,#1308,Error in multi-agent example: pydantic_ai.exceptions.UsageLimitExceeded,,
PYAI-003,pydantic-ai,2026-02,#4364,Anthropic cache tokens double-counted in Langfuse/OTel,,
LANG-032,langchain,2024-06,#22636,langchain-openai - max_tokens - 2 confirmed bugs,,
LANG-031,langchain,2023-08,#9535,Regression in structured_chat agent Output parser,,
DSPY-002,dspy,2024-08,#1358,Integration of Langfuse with DSPy Framework - Zero Values for Cost and Token Usage,,
