issue_id,framework,url,rater_a_cluster,evidence_basis
LANG-001,langgraph,https://github.com/langchain-ai/langgraph/issues/6731,M-retry-loop,text-to-SQL retry; reproduced in Section 5.3
LANG-002,langchain,https://github.com/langchain-ai/langchain/issues/16251,M-retry-loop,"description corrected in v7 from ""rec_limit fix"" to ""summarize-chain loop"""
LANG-004,langchain,https://github.com/langchain-ai/langchain/issues/29779,M-cost-observability,"closed not-planned by dosubot stale-bot May 22 2025. Reporter @dbuos provided langchain_community/callbacks/openai_info.py code with comment line ""## reasoning_tokens are not used in the cost calculation below"" -- the source code itself acknowledges the gap. Affects o3-mini, o1, and variants. User @roryeckel comment Nov 6 2025: ""This is critical to resolve, otherwise trim_messages becomes incompatible with the Responses API when used with reasoning summary."" Documented workaround: subclass ChatO"
LANG-005,langchain,https://github.com/langchain-ai/langchain/issues/30795,M-cost-observability,"closed completed Apr 13 2025 by @ccurme via PR #30807, fixed in commit f005988. Reporter @tdahar provided minimal repro showing o3-mini total_cost calc returned $0.012 instead of expected ~$0.05 (4x undercount). Bug was in standardize_model_name not recognizing o3 as completion-priced model. Fixed in 2 days. Companion to LANG-004 (filed Feb 2025, similar bug class, auto-closed stale, not fixed). Asymmetric outcomes provide structural evidence that cost-bug attention is uneven within same project"
LANG-006,langsmith,https://github.com/langchain-ai/langsmith-sdk/issues/2085,M-cost-observability,"closed completed Oct 30 2025 by @angus-langchain with ""this has been released for a week."" LangSmith silently deprecated server-side token tokenization, breaking cost displays for all gpt-4.1, gpt-4o, o3-mini traces from Oct 23 2025. Multiple users affected. Resolution shifted cost-counting responsibility from framework to users: ""you must ensure usage metrics are sent to LangSmith either in Outputs or Metadata."" Adds cost-OBSERVABILITY failure subclass (no other rows cover this)."
LANG-009,deepagentsjs,https://github.com/langchain-ai/deepagents/issues/82,M-retry-loop,"flagship deepagentsjs entry. Reporter @KDKHD documents three-way interaction between toolTokenLimitBeforeEvict, filesystem-eviction, and read_file line limit causing infinite eviction/read loop. LangSmith trace at https://smith.langchain.com/public/5ccfa3e5-07f0-4572-b205-22ae3d3d5689/r Fixed in PR #172 by @christian-bromann on Feb 3. Follow-up issue #272 documents related grep/glob/ls failure (suggests underlying pattern recurs)."
LANG-010,langchain,https://github.com/langchain-ai/langchain/issues/18212,M-cost-observability,"closed completed Mar 15 2024 by @eyurtsev as duplicate of #16798, patch released in PR #18761 (langchain 0.1.12). Reporter @lamparelli documents the langchain-recommended create_openai_functions_agent constructor silently breaks get_openai_callback (returns 0 tokens, $0 cost) while the deprecated OpenAIFunctionsAgent works correctly. Contributor @keenborder786 root-caused: RunnableAgent.plan uses RunnableSequence.stream which hits the OpenAI streaming-chat-completion endpoint whose response obje"
LANG-013,langgraph,https://github.com/langchain-ai/langgraph/issues/6027,M-retry-loop,closed by @casparb Sep 9 2025 with documentation pointer rather than framework fix. Subtle silent failure: RetryPolicy() does NOT retry on Pydantic ValidationError (which is a ValueError subclass) by default. Workaround requires explicit RetryPolicy(retry_on=ValidationError). Default behavior unchanged. Follow-up #6574 (Gemini MALFORMED_FUNCTION_CALL silent termination) suggests silent-failure pattern recurs.
LANG-014,langchain,https://github.com/langchain-ai/langchain/issues/9717,M-retry-loop,"closed by reporter @gourao Aug 29 2023 with ""Found a different way to accomplish this"" -- never shared the workaround despite multiple followup requests from @Wesleystormrage and @afedotov-align. Issue references 5+ related rate-limit issues (#11155, #11500, #11657, #11907, #12712, #12986). Documents 2023-era rate-limit-retry pattern in LangChain QA pipeline. dosubot suggested batch_size=5 workaround. Framework did not ship rate-limit handling."
ATGN-002,autogen,https://github.com/microsoft/autogen/issues/5317,M-retry-loop,"closed by reporter Feb 4 2025. Maintainer ekzhu response: ""Interesting attempt to break the example :)"" classified the cascading-message behavior as inherent to default subscriptions, provided documentation workaround using separate topics; framework was NOT patched. First AutoGen entry in catalog."
