issue_id,framework,short_url,title,rater_b_cluster,rater_b_note
DSPY-001,dspy,#1132,How to set a max input length?,M-budget-primitive-missing,majority; A=M-budget-primitive-missing; B=M-budget-primitive-missing; C=M-budget-primitive-missing
LANG-012,langchain,#22241,429 Resource Exhausted with gemini-1.5-pro,M-retry-loop,"overridden; A=M-cost-observability; B=M-retry-loop; C=M-cost-observability; correct=M-retry-loop"
LANG-002,langchain,#16251,load_summarize_chain hits infinite loop due to small token_max,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
MAST-012,mastra,#7934,Anthropic System Prompt Caching Regression,providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=providerOptions-silently-dropped; C=providerOptions-silently-dropped
MAST-021,mastra,#7253,Storage-backed image/file attachments,M-storage-amplification,majority; A=M-storage-amplification; B=M-storage-amplification; C=M-storage-amplification
ATGN-005,autogen,#156,Roadmap for handling context overflow,M-context-amplification,majority; A=M-context-amplification; B=M-context-amplification; C=M-context-amplification
LANG-019,langchain,#11313,Azure Cognitive Search vector DB store performs slow embedding as it does not utilize the batch embedding functionality,M-storage-amplification,"overridden; A=M-delegation-fanout; B=M-cost-observability; C=M-delegation-fanout; correct=M-storage-amplification"
LANG-027,langchain,#30362,max_retries Parameter in ChatMistralAI Class Is Ineffective Due to Commented Code,M-budget-primitive-missing,"overridden; A=M-retry-loop; B=M-budget-primitive-missing; C=M-retry-loop; correct=M-budget-primitive-missing"
MAST-017,mastra,#10874,Propagate AbortSignal through Agent Networks to sub-agents,M-delegation-fanout,"overridden; A=M-budget-primitive-missing; B=M-budget-primitive-missing; C=M-delegation-fanout; correct=M-delegation-fanout"
AIDR-005,aider,#1919,Costly message $4.99 with token limits breach,M-context-amplification,majority; A=M-context-amplification; B=M-budget-primitive-missing; C=M-context-amplification
LANG-035,langchain,#24107,Maximum Context Length Exceeded Due to Base64-Encoded Image in Prompt,M-multimodal-cost-amplification,adjudicator; A=M-multimodal-cost-amplification; B=M-budget-primitive-missing; C=M-context-amplification
SMAG-001,smolagents,#559,Getting Token Usage as part of the Final Answer,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
CCDE-002,claude-code,#6461,"[Bug] [Has Workaround] Auto-Compact Resetting Context Limit To 4-6% Causing Frequent Compaction Loop",M-context-amplification,"overridden; A=M-storage-amplification; B=M-storage-amplification; C=M-storage-amplification; correct=M-context-amplification"
GPTE-003,gpt-engineer,#322,Track and log token usage,M-cost-observability,majority; A=M-cost-observability; B=M-budget-primitive-missing; C=M-cost-observability
DSPY-003,dspy,#1954,Using MIPROv2 max_bootstrapped_demos > 0 with dspy.Image causes context to blow up,M-multimodal-cost-amplification,majority; A=M-multimodal-cost-amplification; B=M-context-amplification; C=M-multimodal-cost-amplification
LANG-021,langchain,#33635,"[LangGraph v1.0] Support Bedrock Anthropic prompt caching in create_agent system prompt",providerOptions-silently-dropped,"adjudicator (overridden); A=M-context-amplification; B=M-budget-primitive-missing; C=providerOptions-silently-dropped; correct=providerOptions-silently-dropped"
DSPY-002,dspy,#1358,Integration of Langfuse with DSPy Framework - Zero Values for Cost and Token Usage,M-cost-observability,majority; A=M-cost-observability; B=M-budget-primitive-missing; C=M-cost-observability
CRAI-011,crewai,#3847,Agent loop is not stopped after max iterations reached,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
LLMI-006,llamaindex,#3424,How to store embedding vector when using a custom embedding model?,M-storage-amplification,majority; A=M-storage-amplification; B=M-storage-amplification; C=M-storage-amplification
MAST-014,mastra,#14598,OM issues in tool heavy environments,M-context-amplification,majority; A=M-context-amplification; B=M-context-amplification; C=M-context-amplification
MAST-011,mastra,#11344,"[BUG] Memory class does not support AI SDK v5 providerOptions for embedding dimensions",providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=providerOptions-silently-dropped; C=providerOptions-silently-dropped
MAST-009,mastra,#9068,"[FEATURE] Add support for providerOptions (e.g. cache control) when defining tools",M-budget-primitive-missing,"overridden; A=providerOptions-silently-dropped; B=providerOptions-silently-dropped; C=providerOptions-silently-dropped; correct=M-budget-primitive-missing"
PYAI-001,pydantic-ai,#1308,Error in multi-agent example: pydantic_ai.exceptions.UsageLimitExceeded,M-delegation-fanout,adjudicator; A=M-context-amplification; B=M-budget-primitive-missing; C=M-delegation-fanout
LANG-028,langchain,#11405,prevent a agent from exceeding the token limit,M-budget-primitive-missing,"overridden; A=M-context-amplification; B=M-context-amplification; C=M-context-amplification; correct=M-budget-primitive-missing"
CRAI-007,crewai,#1606,crew result token usage always 0,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
CRAI-009,crewai,#2938,Crew Agent Experiencing Issues with Basic Task Execution,M-retry-loop,majority; A=M-retry-loop; B=M-context-amplification; C=M-retry-loop
AGPT-002,autogpt,#393,Set budget per session with soft/hard cap,M-budget-primitive-missing,"overridden; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability; correct=M-budget-primitive-missing"
LANG-010,langchain,#18212,get_openai_callback returns 0 for create_openai_functions_agent,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
AGPT-001,autogpt,#6,Make Auto-GPT aware of running cost,M-budget-primitive-missing,"overridden; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability; correct=M-budget-primitive-missing"
CDXL-001,codex,#18335,Agent spawn slots leak across turns in persistent sessions,M-budget-primitive-missing,majority; A=M-budget-primitive-missing; B=M-budget-primitive-missing; C=M-budget-primitive-missing
LANG-026,langchain,#29843,ChatFireworks does not retry on API errors (max_retries parameter is fake),M-budget-primitive-missing,"overridden; A=M-retry-loop; B=M-budget-primitive-missing; C=M-retry-loop; correct=M-budget-primitive-missing"
DNSW-001,danswer,PR1569,Word of warning: 2k euros spent in a few days,M-budget-primitive-missing,majority; A=M-budget-primitive-missing; B=M-budget-primitive-missing; C=M-budget-primitive-missing
LANG-013,langgraph,#6027,Node Retry Policies not respected on ValidationError,M-budget-primitive-missing,"overridden; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop; correct=M-budget-primitive-missing"
LANG-025,langchain,#11500,Retry limit is not respected,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
CRAI-008,crewai,#2838,Manager agent repeatedly performs tasks,M-delegation-fanout,majority; A=M-delegation-fanout; B=M-delegation-fanout; C=M-delegation-fanout
ATGN-020,autogen,#1838,multimodal multi agent function call,M-multimodal-cost-amplification,"overridden; correct=M-multimodal-cost-amplification (issue involves image feedback in multi‑agent loop, leading to token blow‑up from multimodal inputs)"
ATGN-018,autogen,#1070,Cost calculation for the whole chat session,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
LANG-008,langchain,#19120,OpenAI Tokens and Cost are inaccurate,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
MAST-001,mastra,#5850,"[BUG] Upstash for storage is getting ridiculously expensive",M-storage-amplification,majority; A=M-storage-amplification; B=M-storage-amplification; C=M-storage-amplification
CRAI-014,crewai,#2655,crewai with AzureOpenAI embeddings fixed,providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=M-retry-loop; C=providerOptions-silently-dropped
LANG-023,langchain,#34542,AnthropicPromptCachingMiddleware applies cache_control to tool_use/tool_result blocks called by code_execution causing API errors,providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=M-context-amplification; C=providerOptions-silently-dropped
CRAI-013,crewai,#2755,How to load pre-existing embeddings as Knowledge Source,M-storage-amplification,majority; A=M-storage-amplification; B=M-budget-primitive-missing; C=M-storage-amplification
MAST-002,mastra,#5703,Token / Cost Usage Tracking?,M-cost-observability,majority; A=M-cost-observability; B=M-budget-primitive-missing; C=M-cost-observability
LANG-022,langchain,#33709,AnthropicPromptCachingMiddleware breaks model fallback with cache_control param,providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=providerOptions-silently-dropped; C=providerOptions-silently-dropped
OAAS-002,openai-agents,#844,Max turns exceeded,M-budget-primitive-missing,majority; A=M-budget-primitive-missing; B=M-budget-primitive-missing; C=M-budget-primitive-missing
PYAI-004,pydantic-ai,#2593,Enforce usage limits by exact tool call count (not just request/turn count),M-budget-primitive-missing,majority; A=M-budget-primitive-missing; B=M-budget-primitive-missing; C=M-budget-primitive-missing
LANG-024,langchain,#1094,Disable Retry on Timeout,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
PCLP-001,paperclipai,#390,Agent circuit breaker; #1 pain point across all multi-agent tools,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
AIDR-001,aider,#1842,Loop ran up $13 in charges rapidly,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-budget-primitive-missing
ATGN-010,autogen,#4835,Model Costs and Cached Tokens,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
AIDR-009,aider,#3471,claude code /compact command,M-context-amplification,majority; A=M-context-amplification; B=M-budget-primitive-missing; C=M-context-amplification
ATGN-008,autogen,#5400,Token counting issues with smaller models,M-cost-observability,majority; A=M-cost-observability; B=M-budget-primitive-missing; C=M-cost-observability
SMAG-004,smolagents,#1129,Is there a step timeout feature?,M-budget-primitive-missing,majority; A=M-budget-primitive-missing; B=M-budget-primitive-missing; C=M-budget-primitive-missing
LANG-007,langsmith,#2024,Cost showing up as 0 despite having tokens,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
AIDR-003,aider,#2491,Enormous token counts and costs from rate limit retries,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
LANG-009,deepagentsjs,#82,Agent infinite loop with large tool results,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
OCLW-001,openclaw,#5960,"Agent session 123 Opus calls in 16min, $4.85, no cap",M-budget-primitive-missing,majority; A=M-budget-primitive-missing; B=M-budget-primitive-missing; C=M-budget-primitive-missing
PYAI-005,pydantic-ai,#4137,Feature Request: First-class Context Compaction API,M-context-amplification,majority; A=M-context-amplification; B=M-context-amplification; C=M-context-amplification
MAST-007,mastra,#8351,Mastra Server not handling rate limit error for anthropic provider,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
LANG-004,langchain,#29779,Reasoning tokens not in cost calculation,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
MAST-013,mastra,#13849,Anthropic prompt caching with agent.stream() and Memory -- how to cache conversation history?,providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=providerOptions-silently-dropped; C=providerOptions-silently-dropped
ATGN-006,autogen,#4719,Token usage and latency metrics in TaskResult,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
ATGN-009,autogen,#4172,Logging metrics for agents,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
MAST-004,mastra,#5490,"[BUG] memory processor only run the 1st time agent is called",M-context-amplification,majority; A=M-context-amplification; B=M-budget-primitive-missing; C=M-context-amplification
MAST-006,mastra,#8162,"[BUG] Langfuse exporter not capturing output tokens from LLM calls",M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
LANG-016,langchain,#25309,No notification when exceeding Anthropic rate limit,M-retry-loop,majority; A=M-retry-loop; B=M-cost-observability; C=M-retry-loop
MAST-010,mastra,#5876,"[BUG] Query performance reduces as memory grows larger",M-storage-amplification,majority; A=M-storage-amplification; B=M-storage-amplification; C=M-storage-amplification
PYAI-007,pydantic-ai,#4538,Expose context window size on ModelProfile and usage limits/tokens on RunContext,M-cost-observability,majority; A=M-cost-observability; B=M-budget-primitive-missing; C=M-cost-observability
LANG-036,langchain,#34873,Support approximate token counting for image blocks in langchain-core,M-multimodal-cost-amplification,majority; A=M-multimodal-cost-amplification; B=M-multimodal-cost-amplification; C=M-multimodal-cost-amplification
SMAG-005,smolagents,#967,List of Free Local LLM Models - Up and Running,M-cost-observability,majority; A=M-cost-observability; B=M-budget-primitive-missing; C=M-cost-observability
PYAI-006,pydantic-ai,#3118,Better handling when max tokens limit results in incomplete tool call arguments,M-retry-loop,majority; A=M-retry-loop; B=M-budget-primitive-missing; C=M-retry-loop
CRAI-001,crewai,#6,"AgentExecutor chain loop stucked, will break OpenAI budget",M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
PYAI-003,pydantic-ai,#4364,Anthropic cache tokens double-counted in Langfuse/OTel,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
MAST-003,mastra,#9016,"[FEATURE] Track token usage across agent network iterations",M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
LANG-034,langchain,#35059,ChatOpenAI silently drops reasoning_content from OpenAI-compatible providers,providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=providerOptions-silently-dropped; C=providerOptions-silently-dropped
CRAI-002,crewai,#1355,Agents getting stuck in loop since move to LiteLLM,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
LANG-001,langgraph,#6731,Agent infinite looping until recursion limit,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
SMAG-006,smolagents,#1719,best way of preventing token overflow when the agent is making LLM request,M-context-amplification,majority; A=M-context-amplification; B=M-context-amplification; C=M-context-amplification
LANG-031,langchain,#9535,Regression in structured_chat agent Output parser,M-delegation-fanout,majority; A=M-delegation-fanout; B=M-retry-loop; C=M-delegation-fanout
LANG-020,langchain,#26701,Anthropic prompt caching in langchain does not work with ChatPromptTemplate,providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=M-budget-primitive-missing; C=providerOptions-silently-dropped
MAST-020,mastra,#9584,should not convert files into base64 for LLM providers that support providing documents as URL,M-multimodal-cost-amplification,majority; A=M-multimodal-cost-amplification; B=M-cost-observability; C=M-multimodal-cost-amplification
LANG-017,langchain,#9929,ParentDocumentRetriever is slow with FAISS because add_documents uses embed_query without batching,M-delegation-fanout,majority; A=M-delegation-fanout; B=M-retry-loop; C=M-delegation-fanout
LANG-033,langchain,#34613,Deprecation warning guides users to langchain.agents breaking stream_mode messages token streaming,providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=M-delegation-fanout; C=providerOptions-silently-dropped
LANG-029,langchain,#10520,Reduce azure openai token usage,M-context-amplification,majority; A=M-context-amplification; B=M-context-amplification; C=M-context-amplification
AIDR-004,aider,#863,Tokens leak: 11k tokens for small change,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
SMAG-002,smolagents,#901,Agent memory/history consolidation after a number of interactions,M-context-amplification,majority; A=M-context-amplification; B=M-storage-amplification; C=M-context-amplification
OAAS-001,openai-agents,#191,Tool Calling Running in Loop Until Max-Turn,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
