issue_id,rater_a_cluster
LANG-001,M-retry-loop
LANG-002,M-retry-loop
LANG-004,M-cost-observability
LANG-005,M-cost-observability
LANG-006,M-cost-observability
LANG-007,M-cost-observability
LANG-008,M-cost-observability
LANG-009,M-retry-loop
LANG-010,M-cost-observability
LANG-012,M-retry-loop
LANG-013,M-retry-loop
LANG-014,M-retry-loop
LANG-016,M-retry-loop
ATGN-002,M-retry-loop
ATGN-003,M-retry-loop
ATGN-005,M-context-amplification
ATGN-006,M-cost-observability
ATGN-007,M-cost-observability
ATGN-008,M-cost-observability
CRAI-001,M-delegation-fanout
CRAI-002,M-retry-loop
AGPT-001,M-budget-primitive-missing
AGPT-002,M-budget-primitive-missing
AIDR-001,M-retry-loop
AIDR-003,M-retry-loop
AIDR-004,M-context-amplification
AIDR-005,M-retry-loop
AIDR-006,M-context-amplification
LLMI-003,M-cost-observability
CCDE-001,M-retry-loop
CCDE-002,M-retry-loop
GPTE-002,M-context-amplification
GPTE-003,M-storage-amplification
DNSW-001,M-budget-primitive-missing
OCLW-001,M-delegation-fanout
NANO-001,M-retry-loop
PCLP-001,M-retry-loop
CDXL-001,M-delegation-fanout
ATGN-009,M-cost-observability
ATGN-010,M-cost-observability
AIDR-009,M-context-amplification
MAST-001,M-storage-amplification
MAST-002,M-cost-observability
MAST-003,M-cost-observability
MAST-004,M-context-amplification
MAST-006,M-cost-observability
MAST-007,M-retry-loop
MAST-009,M-context-amplification
MAST-010,M-storage-amplification
MAST-011,providerOptions-silently-dropped
MAST-012,M-storage-amplification
MAST-013,M-storage-amplification
MAST-014,M-delegation-fanout
LANG-017,M-storage-amplification
LLMI-005,M-storage-amplification
LLMI-006,providerOptions-silently-dropped
LANG-019,M-storage-amplification
LANG-020,M-storage-amplification
LANG-021,M-storage-amplification
LANG-022,providerOptions-silently-dropped
LANG-023,providerOptions-silently-dropped
DSPY-001,M-retry-loop
DSPY-002,M-cost-observability
DSPY-003,M-context-amplification
DSPY-004,M-cost-observability
LANG-024,M-retry-loop
LANG-025,M-retry-loop
LANG-026,M-retry-loop
LANG-027,M-retry-loop
MAST-016,M-retry-loop
SMAG-001,M-cost-observability
SMAG-002,M-context-amplification
SMAG-004,M-retry-loop
SMAG-005,M-retry-loop
ATGN-018,M-context-amplification
ATGN-019,M-delegation-fanout
MAST-017,M-delegation-fanout
CRAI-006,M-cost-observability
CRAI-007,M-cost-observability
CRAI-008,M-delegation-fanout
CRAI-009,M-delegation-fanout
CRAI-010,M-delegation-fanout
LANG-028,M-budget-primitive-missing
LANG-029,M-budget-primitive-missing
CRAI-011,M-budget-primitive-missing
PYAI-001,M-budget-primitive-missing
PYAI-002,M-budget-primitive-missing
PYAI-003,M-cost-observability
PYAI-004,M-budget-primitive-missing
PYAI-005,M-context-amplification
PYAI-006,M-context-amplification
PYAI-007,M-budget-primitive-missing
OAAS-001,M-delegation-fanout
OAAS-002,M-budget-primitive-missing
LANG-030,M-cost-observability
LANG-031,M-retry-loop
LANG-032,M-budget-primitive-missing
LANG-033,providerOptions-silently-dropped
LANG-034,providerOptions-silently-dropped
LANG-035,M-multimodal-cost-amplification
LANG-036,M-multimodal-cost-amplification
LANG-037,M-multimodal-cost-amplification
ATGN-020,M-delegation-fanout
MAST-020,M-multimodal-cost-amplification
MAST-021,M-multimodal-cost-amplification
SMAG-006,M-context-amplification
MAST-023,M-multimodal-cost-amplification
CRAI-012,M-storage-amplification
CRAI-013,M-storage-amplification
CRAI-014,M-storage-amplification
