issue_id,framework,short_url,title,rater_b_cluster,rater_b_note
DSPY-001,dspy,#1132,How to set a max input length?,M-budget-primitive-missing,
LANG-012,langchain,#22241,429 Resource Exhausted with gemini-1.5-pro,M-budget-primitive-missing,
LANG-002,langchain,#16251,load_summarize_chain hits infinite loop due to small token_max,M-retry-loop,
MAST-012,mastra,#7934,Anthropic System Prompt Caching Regression,providerOptions-silently-dropped,
MAST-021,mastra,#7253,Storage-backed image/file attachments,M-multimodal-cost-amplification,
ATGN-005,autogen,#156,Roadmap for handling context overflow,M-context-amplification,
LANG-019,langchain,#11313,Azure Cognitive Search vector DB store performs slow embedding as it does not utilize the batch embedding functionality,M-budget-primitive-missing,
LANG-027,langchain,#30362,max_retries Parameter in ChatMistralAI Class Is Ineffective Due to Commented Code,providerOptions-silently-dropped,
MAST-017,mastra,#10874,Propagate AbortSignal through Agent Networks to sub-agents,M-budget-primitive-missing,
AIDR-005,aider,#1919,Costly message $4.99 with token limits breach,M-cost-observability,
LANG-035,langchain,#24107,Maximum Context Length Exceeded Due to Base64-Encoded Image in Prompt,M-multimodal-cost-amplification,
SMAG-001,smolagents,#559,Getting Token Usage as part of the Final Answer,M-cost-observability,
CCDE-002,claude-code,#6461,"[Bug] [Has Workaround] Auto-Compact Resetting Context Limit To 4-6% Causing Frequent Compaction Loop",M-retry-loop,
GPTE-003,gpt-engineer,#322,Track and log token usage,M-cost-observability,
DSPY-003,dspy,#1954,Using MIPROv2 max_bootstrapped_demos > 0 with dspy.Image causes context to blow up,M-multimodal-cost-amplification,
LANG-021,langchain,#33635,"[LangGraph v1.0] Support Bedrock Anthropic prompt caching in create_agent system prompt",providerOptions-silently-dropped,
DSPY-002,dspy,#1358,Integration of Langfuse with DSPy Framework - Zero Values for Cost and Token Usage,M-cost-observability,
CRAI-011,crewai,#3847,Agent loop is not stopped after max iterations reached,M-retry-loop,
LLMI-006,llamaindex,#3424,How to store embedding vector when using a custom embedding model?,M-budget-primitive-missing,
MAST-014,mastra,#14598,OM issues in tool heavy environments,M-context-amplification,
MAST-011,mastra,#11344,"[BUG] Memory class does not support AI SDK v5 providerOptions for embedding dimensions",providerOptions-silently-dropped,
MAST-009,mastra,#9068,"[FEATURE] Add support for providerOptions (e.g. cache control) when defining tools",providerOptions-silently-dropped,
PYAI-001,pydantic-ai,#1308,"Error in multi-agent example: pydantic_ai.exceptions.UsageLimitExceeded",M-budget-primitive-missing,
LANG-028,langchain,#11405,prevent a agent from exceeding the token limit,M-context-amplification,
CRAI-007,crewai,#1606,crew result token usage always 0,M-cost-observability,
CRAI-009,crewai,#2938,Crew Agent Experiencing Issues with Basic Task Execution,M-retry-loop,
AGPT-002,autogpt,#393,Set budget per session with soft/hard cap,M-cost-observability,
LANG-010,langchain,#18212,get_openai_callback returns 0 for create_openai_functions_agent,M-cost-observability,
AGPT-001,autogpt,#6,Make Auto-GPT aware of running cost,M-cost-observability,
CDXL-001,codex,#18335,Agent spawn slots leak across turns in persistent sessions,M-budget-primitive-missing,
LANG-026,langchain,#29843,ChatFireworks does not retry on API errors (max_retries parameter is fake),providerOptions-silently-dropped,
DNSW-001,danswer,PR1569,Word of warning: 2k euros spent in a few days,INACCESSIBLE,Not accessible as its a PR which does not exists
LANG-013,langgraph,#6027,Node Retry Policies not respected on ValidationError,providerOptions-silently-dropped,
LANG-025,langchain,#11500,Retry limit is not respected,providerOptions-silently-dropped,
CRAI-008,crewai,#2838,Manager agent repeatedly performs tasks,M-retry-loop,
ATGN-020,autogen,#1838,multimodal multi agent function call,M-multimodal-cost-amplification,
ATGN-018,autogen,#1070,Cost calculation for the whole chat session,M-cost-observability,
LANG-008,langchain,#19120,OpenAI Tokens and Cost are inaccurate,M-cost-observability,
MAST-001,mastra,#5850,"[BUG] Upstash for storage is getting ridiculously expensive",M-storage-amplification,
CRAI-014,crewai,#2655,crewai with AzureOpenAI embeddings fixed,M-storage-amplification,
LANG-023,langchain,#34542,"AnthropicPromptCachingMiddleware applies cache_control to tool_use/tool_result blocks called by code_execution causing API errors",M-budget-primitive-missing,
CRAI-013,crewai,#2755,How to load pre-existing embeddings as Knowledge Source,M-storage-amplification,
MAST-002,mastra,#5703,Token / Cost Usage Tracking?,M-cost-observability,
LANG-022,langchain,#33709,AnthropicPromptCachingMiddleware breaks model fallback with cache_control param,M-budget-primitive-missing,
OAAS-002,openai-agents,#844,Max turns exceeded,M-budget-primitive-missing,
PYAI-004,pydantic-ai,#2593,Enforce usage limits by exact tool call count (not just request/turn count),M-budget-primitive-missing,
LANG-024,langchain,#1094,Disable Retry on Timeout,providerOptions-silently-dropped,
PCLP-001,paperclipai,#390,"Agent circuit breaker; #1 pain point across all multi-agent tools",M-retry-loop,
AIDR-001,aider,#1842,"Loop ran up $13 in charges rapidly",M-retry-loop,
ATGN-010,autogen,#4835,Model Costs and Cached Tokens,M-cost-observability,
AIDR-009,aider,#3471,claude code /compact command,M-context-amplification,
