issue_id,rater_b_cluster
DSPY-001,M-budget-primitive-missing
LANG-012,M-context-amplification
LANG-002,M-retry-loop
MAST-012,providerOptions-silently-dropped
MAST-021,M-multimodal-cost-amplification
ATGN-005,M-context-amplification
LANG-019,M-budget-primitive-missing
LANG-027,providerOptions-silently-dropped
MAST-017,M-budget-primitive-missing
AIDR-005,M-cost-observability
LANG-035,M-multimodal-cost-amplification
SMAG-001,M-cost-observability
CCDE-002,M-storage-amplification
GPTE-003,M-cost-observability
DSPY-003,M-multimodal-cost-amplification
LANG-021,providerOptions-silently-dropped
DSPY-002,M-cost-observability
CRAI-011,M-retry-loop
LLMI-006,M-storage-amplification
MAST-014,M-context-amplification
MAST-011,providerOptions-silently-dropped
MAST-009,M-budget-primitive-missing
PYAI-001,M-delegation-fanout
LANG-028,M-context-amplification
CRAI-007,M-cost-observability
CRAI-009,M-retry-loop
AGPT-002,M-cost-observability
LANG-010,M-cost-observability
AGPT-001,M-retry-loop
CDXL-001,M-delegation-fanout
LANG-026,providerOptions-silently-dropped
DNSW-001,M-budget-primitive-missing
LANG-013,providerOptions-silently-dropped
LANG-025,providerOptions-silently-dropped
CRAI-008,M-retry-loop
ATGN-020,M-multimodal-cost-amplification
ATGN-018,M-cost-observability
LANG-008,M-cost-observability
MAST-001,M-storage-amplification
CRAI-014,M-storage-amplification
LANG-023,providerOptions-silently-dropped
CRAI-013,M-storage-amplification
MAST-002,M-cost-observability
LANG-022,providerOptions-silently-dropped
OAAS-002,M-budget-primitive-missing
PYAI-004,M-budget-primitive-missing
LANG-024,providerOptions-silently-dropped
PCLP-001,M-retry-loop
AIDR-001,M-retry-loop
ATGN-010,M-cost-observability
AIDR-009,M-budget-primitive-missing
ATGN-008,M-cost-observability
SMAG-004,M-budget-primitive-missing
LANG-007,M-cost-observability
AIDR-003,M-retry-loop
LANG-009,M-retry-loop
OCLW-001,M-retry-loop
PYAI-005,M-context-amplification
MAST-007,M-budget-primitive-missing
LANG-004,M-cost-observability
MAST-013,providerOptions-silently-dropped
ATGN-006,M-cost-observability
ATGN-009,M-cost-observability
MAST-004,M-context-amplification
MAST-006,M-cost-observability
LANG-016,M-cost-observability
MAST-010,M-storage-amplification
PYAI-007,M-cost-observability
LANG-036,M-cost-observability
SMAG-005,M-budget-primitive-missing
PYAI-006,providerOptions-silently-dropped
CRAI-001,M-retry-loop
PYAI-003,M-cost-observability
MAST-003,M-cost-observability
LANG-034,providerOptions-silently-dropped
CRAI-002,M-retry-loop
LANG-001,M-retry-loop
SMAG-006,M-context-amplification
LANG-031,M-budget-primitive-missing
LANG-020,providerOptions-silently-dropped
MAST-020,M-multimodal-cost-amplification
LANG-017,M-budget-primitive-missing
LANG-033,M-cost-observability
LANG-029,M-context-amplification
AIDR-004,M-cost-observability
SMAG-002,M-context-amplification
OAAS-001,M-retry-loop
CRAI-006,M-cost-observability
DSPY-004,M-cost-observability
CCDE-001,M-retry-loop
AIDR-006,providerOptions-silently-dropped
LANG-032,providerOptions-silently-dropped
CRAI-012,M-storage-amplification
LANG-006,M-cost-observability
LLMI-005,M-storage-amplification
ATGN-019,M-delegation-fanout
LANG-014,M-retry-loop
MAST-016,M-budget-primitive-missing
LANG-037,M-budget-primitive-missing
PYAI-002,M-budget-primitive-missing
ATGN-002,M-retry-loop
MAST-023,M-multimodal-cost-amplification
ATGN-007,M-cost-observability
LLMI-003,M-cost-observability
GPTE-002,M-retry-loop
NANO-001,M-context-amplification
LANG-030,M-cost-observability
LANG-005,M-cost-observability
ATGN-003,M-retry-loop
CRAI-010,M-retry-loop
