issue_id,framework,date,short_url,title,prevented_at_compile_time,user_dollar_loss,notes,label
LANG-001,langgraph,2026-01,#6731,Agent infinite looping until recursion limit,,,paper:bu; text-to-SQL retry; reproduced in Section 5.3,bu
LANG-002,langchain,2024-01,#16251,load_summarize_chain hits infinite loop due to small token_max,,,"paper:bf; description corrected in v7 from ""rec_limit fix"" to ""summarize-chain loop""",bf
LANG-003,langchain,2023-04,#2548,Cost getting too high,,,SKIPPED for paper. 2023 Q&A thread: reporter @vishnu1991 misunderstood chunked retrieval mechanics (asking why a 2k-token document costs 2k tokens per query). Community members @Qualzz and @kartikbhardwaj2000 explained correctly. Not a failure incident. Auto-closed not-planned by dosubot Sep 26 2023.,SKIPPED
LANG-004,langchain,2025-02,#29779,Reasoning tokens not in cost calculation,,,"paper:bu; closed not-planned by dosubot stale-bot May 22 2025. Reporter @dbuos provided langchain_community/callbacks/openai_info.py code with comment line ""## reasoning_tokens are not used in the cost calculation below"" -- the source code itself acknowledges the gap. Affects o3-mini, o1, and variants. User @roryeckel comment Nov 6 2025: ""This is critical to resolve, otherwise trim_messages becomes incompatible with the Responses API when used with reasoning summary."" Documented workaround: subclass ChatOpenAI and override get_num_tokens_from_messages. Pairs with AIDR-006 and LANG-005 in reasoning-model subclass. Critical companion to LANG-005: same bug class, opposite outcome.",bu
LANG-005,langchain,2025-04,#30795,Total cost calculation possible bug with o3-mini,,,"paper:bf; closed completed Apr 13 2025 by @ccurme via PR #30807, fixed in commit f005988. Reporter @tdahar provided minimal repro showing o3-mini total_cost calc returned $0.012 instead of expected ~$0.05 (4x undercount). Bug was in standardize_model_name not recognizing o3 as completion-priced model. Fixed in 2 days. Companion to LANG-004 (filed Feb 2025, similar bug class, auto-closed stale, not fixed). Asymmetric outcomes provide structural evidence that cost-bug attention is uneven within same project.",bf
LANG-006,langsmith,2025-10,#2085,Token count and cost incorrectly display as 0,,,"paper:mf; closed completed Oct 30 2025 by @angus-langchain with ""this has been released for a week."" LangSmith silently deprecated server-side token tokenization, breaking cost displays for all gpt-4.1, gpt-4o, o3-mini traces from Oct 23 2025. Multiple users affected. Resolution shifted cost-counting responsibility from framework to users: ""you must ensure usage metrics are sent to LangSmith either in Outputs or Metadata."" Adds cost-OBSERVABILITY failure subclass (no other rows cover this).",mf
LANG-007,langsmith,2025-09,#2024,Cost showing up as 0 despite having tokens,,,"paper:bu; OPEN as of Dec 2025. Reporter @ryanlohyr documents OpenAI gpt-4o calls via Responses API showing $0 cost in LangSmith despite token usage. Maintainer @angus-langchain self-assigned then confirmed: ""Confirmed I can repro. This is related to the Responses API which we are working on supporting better."" Three months later @RRaphaell reports related symptom (token counts undercounting first-turn vs subsequent-turn). Sibling issue #2085 (Oct 23 2025) reports same total-token-and-cost-zero pattern. Distinct from LANG-006 by surface (SDK vs server) and status (still open vs released-fix); strengthens M-cost-observability cluster within LangChain ecosystem.",bu
LANG-008,langchain,2024-02,#19120,OpenAI Tokens and Cost are inaccurate,,,"paper:bu; closed not-planned by dosubot stale-bot Jul 4 2024 with no fix. Reporter @ArslanKAS documents get_openai_callback returning 815 tokens and $0.00134 USD for a gpt-3.5-turbo request that llm.get_num_tokens cross-check showed should be ~13K tokens (~16x undercount). One community confirmation @axiangcoding ""Same issue here"" Mar 28 2024. Bot-tagged as bug, then auto-stale-closed three months later. Same get_openai_callback subsystem as LANG-010 (which was patched in 0.1.12 a month earlier); juxtaposition shows M-cost-observability bugs persist across patches in langchain callback infrastructure.",bu
LANG-009,deepagentsjs,2025-12,#82,Agent infinite loop with large tool results,,,"paper:bf; flagship deepagentsjs entry. Reporter @KDKHD documents three-way interaction between toolTokenLimitBeforeEvict, filesystem-eviction, and read_file line limit causing infinite eviction/read loop. LangSmith trace at https://smith.langchain.com/public/5ccfa3e5-07f0-4572-b205-22ae3d3d5689/r Fixed in PR #172 by @christian-bromann on Feb 3. Follow-up issue #272 documents related grep/glob/ls failure (suggests underlying pattern recurs).",bf
LANG-010,langchain,2024-02,#18212,get_openai_callback returns 0 for create_openai_functions_agent,,,"paper:bf; closed completed Mar 15 2024 by @eyurtsev as duplicate of #16798, patch released in PR #18761 (langchain 0.1.12). Reporter @lamparelli documents the langchain-recommended create_openai_functions_agent constructor silently breaks get_openai_callback (returns 0 tokens, $0 cost) while the deprecated OpenAIFunctionsAgent works correctly. Contributor @keenborder786 root-caused: RunnableAgent.plan uses RunnableSequence.stream which hits the OpenAI streaming-chat-completion endpoint whose response object lacks usage info. Patch incomplete: @gryshko reports it doesn't fix pandas_dataframe_agent; @axtsoi reports it doesn't fix create_sql_agent (""token counting is one of the fundamental and crucial features by LangChain but this doesn't seem to be treated as a high priority""). Reporter framing quotable: ""creating an OpenAI Agent and tracking costs is a pretty basic functionality that should work out of the box.""",bf
