prompt_id,category,depth,prompt
prereg-000,cjk_unicode,,你好世界，这是一个测试。这是关于异步并发的复杂讨论。 在金融系统中处理多种货币兑换是常见的挑战，需要精确的小数处理。 한국어 텍스트의 토큰 카운트 검증을 위한 샘플입니다.
prereg-001,cjk_unicode,,한국어 텍스트의 토큰 카운트 검증을 위한 샘플입니다. 日本語の文字列のテスト：これは複雑なテストケースです。 你好世界，这是一个测试。这是关于异步并发的复杂讨论。
prereg-002,cjk_unicode,,日本語の文字列のテスト：これは複雑なテストケースです。 你好世界，这是一个测试。这是关于异步并发的复杂讨论。 한국어 텍스트의 토큰 카운트 검증을 위한 샘플입니다.
prereg-003,cjk_unicode,,在金融系统中处理多种货币兑换是常见的挑战，需要精确的小数处理。 你好世界，这是一个测试。这是关于异步并发的复杂讨论。 한국어 텍스트의 토큰 카운트 검증을 위한 샘플입니다.
prereg-004,cjk_unicode,,这里有一段较长的中文文本，用于测试拜占庭式的token计算行为， 你好世界，这是一个测试。这是关于异步并发的复杂讨论。 在金融系统中处理多种货币兑换是常见的挑战，需要精确的小数处理。
prereg-005,cjk_unicode,,你好世界，这是一个测试。这是关于异步并发的复杂讨论。 日本語の文字列のテスト：これは複雑なテストケースです。 在金融系统中处理多种货币兑换是常见的挑战，需要精确的小数处理。
prereg-006,cjk_unicode,,在金融系统中处理多种货币兑换是常见的挑战，需要精确的小数处理。 你好世界，这是一个测试。这是关于异步并发的复杂讨论。 한국어 텍스트의 토큰 카운트 검증을 위한 샘플입니다.
prereg-007,cjk_unicode,,日本語の文字列のテスト：これは複雑なテストケースです。 这里有一段较长的中文文本，用于测试拜占庭式的token计算行为， 你好世界，这是一个测试。这是关于异步并发的复杂讨论。
prereg-008,cjk_unicode,,这里有一段较长的中文文本，用于测试拜占庭式的token计算行为， 한국어 텍스트의 토큰 카운트 검증을 위한 샘플입니다. 你好世界，这是一个测试。这是关于异步并发的复杂讨论。
prereg-009,cjk_unicode,,日本語の文字列のテスト：これは複雑なテストケースです。 这里有一段较长的中文文本，用于测试拜占庭式的token计算行为， 在金融系统中处理多种货币兑换是常见的挑战，需要精确的小数处理。
prereg-010,cjk_unicode,,한국어 텍스트의 토큰 카운트 검증을 위한 샘플입니다. 日本語の文字列のテスト：これは複雑なテストケースです。 你好世界，这是一个测试。这是关于异步并发的复杂讨论。
prereg-011,cjk_unicode,,한국어 텍스트의 토큰 카운트 검증을 위한 샘플입니다. 你好世界，这是一个测试。这是关于异步并发的复杂讨论。 这里有一段较长的中文文本，用于测试拜占庭式的token计算行为，
prereg-012,cjk_unicode,,这里有一段较长的中文文本，用于测试拜占庭式的token计算行为， 你好世界，这是一个测试。这是关于异步并发的复杂讨论。 日本語の文字列のテスト：これは複雑なテストケースです。
prereg-013,cjk_unicode,,한국어 텍스트의 토큰 카운트 검증을 위한 샘플입니다. 在金融系统中处理多种货币兑换是常见的挑战，需要精确的小数处理。 你好世界，这是一个测试。这是关于异步并发的复杂讨论。
prereg-014,cjk_unicode,,这里有一段较长的中文文本，用于测试拜占庭式的token计算行为， 你好世界，这是一个测试。这是关于异步并发的复杂讨论。 日本語の文字列のテスト：これは複雑なテストケースです。
